Questions,Answers
What is Simbolo?,"Símbolo is a training school which provides high-quality education in science and technology by offering courses in Artificial Intelligence, Data Science, Web Development, Mobile Development, and Information Technology. These courses combine theoretical knowledge with practical, project-based learning."
When was Simbolo founded?,"Símbolo was founded in 6th May, 2021."
What does Simbolo mean?,Símbolo is pronounced in Spanish which means symbol.
How many tracks are there as courses offered by Simbolo? What are those?,"Símbolo offers 4 tracks : Artificial Intelligence Track, Data Science Track, Web Development Track and Mobile Development Track. Plus other isolated IT classes"
What courses are there in the Artificial Intelligence Track?,"Foundations of Python: A Step-by-Step Learning, Math Fundamentals: Behind the sense of AI and Data  Science, AI Foundations: From Theory to Practical Applications, Applied Machine Learning, Introduction to Computer Vision"
What courses are available in the Data Science Track,"Foundations of Python: A Step-by-Step Learning, Math Fundamentals: Behind the sense of AI and Data  Science, Oracle Database Foundation, Unlock the Data Analytics Mystery, AI Foundations: From Theory to Practical Applications, Applied Machine Learning"
What courses are in the Web Development Track?,"A UX/UI Essential Course, The Art of Web Design: Master HTML, CSS, Bootstrap and JavaScript, React JS Course (Frontend), Web Development with PHP (Backend)"
What courses are in the Mobile Development Track?,iOS Development Fundamentals
What are the isolated classes?,"Software Testing Fundamentals (Manual), Quantum Computing: The Theoretical Minimum, IT Project Management Fundamentals, Pathway to success: College Readiness "
Can I attend a One on One class at Simbolo? Which One on One classes are there?,"One on one classes are available. Símbolo offers one on one class for these subjects: - Python
- Introduction to AI
- Math Fundamentals
- UX/UI
- Oracle Database Foundation
- Applied Machine Learning 
- Data Science Foundation
- Web Development Foundation
- JavaScript 
- React JS
- Software Testing Fundamental 
- Data Analysis
- Mobile Development 
- IT Project Management "
How many students attended Símbolo?,"Over 1,900 students have attended Simbolo."
What are the benefits that only students of Simbolo can enjoy?,"Membership Card, Jump Start Internship Program, Letter of Recommendation, Competition Mentorship, Pocket Money Program for Symbols"
What is Jump Start Program?,"The Jump Start Program is a program that provides Internship Experiences and Guidance to prepare you to start an AI career. The following services are included in the Jump Start Program: 1. Literature Reviews, Paper Reading, Labeling Guidelines 2. Git/Github and Useful Github Commands 3. Machine Learning Model Deployment with Docker and Flask API, AWS, Load Testing with Jmeter 4. Interview Preparation (Resume and Cover Letter), HR Interview, and Technical Interview 5. Basic Data Structure and Algorithm for Coding Interview 6. Individual Project"
"What do I need to do to get a Letter of Recommendation?
","The students who attended 3 classes and achieved certificates at Simbolo can request a ""Recommendation Letter"" to apply for scholarships and other programs."
What is the location of Simbolo?,"Simbolo is located at 91H*42H, Mahar Aung Myay, Mandalay. Let me know if you need directions!"
Where can we contact the Simbolo?,"You can contact Simbolo in the following ways:
Email: simboloit@gmail.com
Phone: +959951716847
Messenger: https://m.me/Simboloit"
What topics are covered in an Introduction to Computer Vision course?,"Here is the course outline for Computer Vision:
- Introduction to Compute Vision
- Image Processing with Python
- Machine Learning with Python
- Deep Learning with Python
"
